input_text,output_text
"BOY AND GIRL SCOUT COUNCILS — all camp operations — including Clerical Office Employees at camp locations This classification applies to camps that provide supervised recreational or educational activities with guidance or counseling services with overnight lodging for camp participants.Recreational or educational day camps that do not include overnight lodging shall be classified as 9059, Day Care Centers.",Classification Code: 9048 | Pure Premium Rate: 2.21 | Effective Date: 9/1/2023
"SERUM, ANTITOXIN OR VIRUS MFG. This classification applies to the manufacture of serum, antitoxins and viruses. This classification also applies to blood and plasma processing operations, and to the manufacture of diagnostic test kits for a variety of purposes, including but not limited to allergy testing, enzyme research and pregnancy testing. This classification includes any care and handling of animals in connection with these operations.Blood banks and blood donor centers shall be classified as 8834, Physicians' Practices and Outpatient Clinics.Biomedical research laboratories that are not engaged in commercial production operations shall be classified as 4512, Biomedical Research Laboratories.The manufacture of drugs, medicine or pharmaceutical preparations by compounding, blending or packaging only, with no manufacturing of ingredients, shall be classified as 4611, Drug, Medicine or Pharmaceutical Preparations Mfg.",Classification Code: 5951 | Pure Premium Rate: 0.45 | Effective Date: 9/1/2023
"QUARRIES — including all employees engaged in installation of machinery and construction, repair and maintenance of all buildings, structures or equipment This classification applies to open quarries for the removal of rock, including but not limited to granite, limestone, sandstone and soapstone.This classification includes stone cutting in quarries or hauling material from the quarry to a stone crusher operated by the quarry.Drilling or blasting performed in connection with the employer's quarry operations shall be classified in accordance with Section III, Rule 5, General Inclusions.Crushing operations shall be separately classified.Rock excavation in connection with construction projects shall be classified as 1624(2) Excavation — rock.Surface mining (open pit method) of ores or minerals shall be classified as 1122, Mining — surface.Underground mining shall be classified as 6251, Tunneling or Underground Mining.",Classification Code: 1624 | Pure Premium Rate: 2.94 | Effective Date: 9/1/2023
"STEAM PIPE OR BOILER INSULATION — applying non-conducting materials — including shop, yard or storage operations This classification applies to the application of insulating material, including but not limited to fiberglass, polystyrene, aluminum and calcium silicate, onto steam pipes, boilers, vessels, duct work and similar apparatus to conserve heat and cold and to prevent condensation.This classification also includes the removal of insulating material, including but not limited to fiberglass, polystyrene, aluminum and calcium silicate, from steam pipes, boilers, vessels, duct work and similar apparatus. Removal operations that include asbestos abatement shall be classified as 5473, Asbestos Abatement.The application of insulating material to ductwork when ductwork installation is performed by the employer at the same job or location shall be classified as 5538(2)/5542(2), Heating or Air Conditioning Ductwork.The installation of temperature or sound control insulating materials within buildings or building walls shall be classified as 5479, Insulation Work.",Classification Code: 5184 | Pure Premium Rate: 1.68 | Effective Date: 9/1/2023
"AIRCRAFT OPERATION — flight schools and pilot training — not members of the flying crew — including gate and ticket counter personnel at airports This classification applies to the ground operations of employers that provide flight instruction or training. Ground operations include but are not limited to loading or unloading baggage or freight; assisting passengers with boarding or disembarking the aircraft; assisting passengers with ticket information or checking baggage; and aircraft fueling, service or repair.Instructors who are not members of the flying crew shall be separately classified as 8868, Colleges or Schools – private – not automobile schools – professors, teachers or academic professional employees.Also refer to companion Classification 7424(2), Aircraft Operation — flight schools and pilot training — members of the flying crew.",Classification Code: 7428 | Pure Premium Rate: 2.67 | Effective Date: 9/1/2023
"FRUIT — fresh fruit packing and handling — including storage — N.O.C. This classification applies to the washing, hand or machine sorting, sizing, grading, packing, pre-cooling and storage of fresh deciduous fruit, including but not limited to apples, plums, peaches, pears, nectarines, melons, grapes, cherries, avocados and berries. This classification also applies to employers that resort, resize, regrade and repack previously packed fresh deciduous fruit.The processing of ""ready-to-eat"" fruits or vegetables that are packaged as ""ready-to-eat"" or ""pre-washed"" and sold for immediate consumption without need for further peeling, trimming, washing or cooking shall be classified as 2123, Fruit or Vegetable Processing — fresh — ready-to-eat. Pre-cooling or cold storage of produce that is exclusively field packed or received prepacked from separate concerns shall be classified as 8291(1), Warehouses — cold storage.The packing and handling of dried fruit shall be separately classified as 2109, Fruit — dried fruit packing and handling.The packing and handling of fresh citrus fruit shall be separately classified as 2108, Fruit — citrus fruit packing and handling.The packing and handling of fresh vegetables or tomatoes shall be separately classified as 8209, Vegetables.Growing or harvesting, including field packing, of crops shall be assigned to the applicable Farms Industry Group classification.",Classification Code: 2107 | Pure Premium Rate: 4.12 | Effective Date: 9/1/2023
"TERMITE CONTROL WORK — all operations — including, shop, yard or storage operations, Outside Salespersons and estimators This classification applies to the control or extermination of termites or other wood-destroying pests or organisms by any method, including but not limited to fumigation, spraying insecticides and applying orange oil or hot or cold thermal treatments. This classification also applies to structural repair operations that are conducted incidental to termite control work. This classification also applies to the application of insecticides onto soil or structures to control termites in connection with new construction.The control or extermination of pests, including but not limited to rodents and insects other than termites or other wood-destroying pests shall be separately classified as 9031, Pest or Nuisance Wildlife Control.The structural repair of wood framed buildings that is not incidental to termite control work at a particular job or location shall be classified as 5403/5432, Carpentry.",Classification Code: 5650 | Pure Premium Rate: 5.9 | Effective Date: 9/1/2023
"BEVERAGE PREPARATION SHOPS — not bars or taverns This classification applies to preparing and serving beverages such as coffee; coffee-based beverages such as mochas, cappuccinos, lattes, and espressos; tea or tea-based beverages; and juice drinks such as juice blends, smoothies, and lemonade for consumption by walk-in trade on or away from the premises. This classification shall apply to each separate location at which the sale of prepared nonalcoholic beverages for consumption on or away from the premises equals or exceeds 50% of gross receipts. This classification includes the sale of additional items, including but not limited to muffins, pastries and other baked goods.Beverage preparation shops that pour and serve alcoholic beverages for consumption on the premises or that prepare and serve hot food for consumption on or away from the premises shall be assigned to Classification 9079(1), Restaurants or Taverns.The bottling or canning of beverages or the manufacture of concentrates shall be separately classified.",Classification Code: 8078 | Pure Premium Rate: 1.23 | Effective Date: 9/1/2023
"FURNITURE MOVING — including packing or handling This classification applies to transporting, preparing or packing furniture or household goods for other concerns on a fee basis. This classification also applies to transporting, preparing or packing office furniture or fixtures for other concerns on a fee basis.The storage of new furniture for furniture manufacturers or stores shall be classified as 8292, Warehouses — general merchandise.The storage of furniture or household goods for other concerns on a fee basis shall be classified as 8293(1), Warehouses — furniture.The storage of portable storage units, regardless of their contents, shall be classified as 8292, Warehouses — general merchandise.The transporting of furniture under contract for furniture manufacturers or stores shall be classified as 7219(1), Trucking Firms.The disassembly and reinstallation of modular furniture, partitions or workstations in connection with moving office furniture shall be separately classified as 5146(1), Cabinet, Fixture or Trim Installation.",Classification Code: 8293 | Pure Premium Rate: 11.05 | Effective Date: 9/1/2023
"OIL OR GAS GEOLOGISTS OR SCOUTS — including mapping of subsurface areas — including Clerical Office Employees, Clerical Telecommuter Employees and Outside SalespersonsThe entire remuneration of each employee shall be included, subject to a maximum of $154,700 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period. This classification applies to geologists or scouts who travel to potential oil drilling sites to observe and gather data that is compiled into reports that describe the probability that oil or gas deposits are present. This classification includes analyzing technical data from monitoring instruments and analyzing drilling mud or well cuttings to identify the types of subsurface formations in the region and the presence of hydrocarbons. This classification also applies to the geophysical exploration of subsurface areas using physical methods, including but not limited to seismic, gravitational, magnetic, electrical and electromagnetic methods to measure the physical properties of rock.Consulting engineers, including but not limited to civil, electrical, mechanical and mining engineers who do not perform oil or gas related operations as described above shall be classified as 8601(1), Engineers.Geologists or scouts who perform outside operations in connection with oil or gas well drilling or redrilling, oil or gas lease operations, or oil or gas pipeline operations by the employer shall be assigned to the applicable Petroleum Industry Group classification.",Classification Code: 8601 | Pure Premium Rate: 0.31 | Effective Date: 9/1/2023
"ANALYTICAL OR TESTING LABORATORIES — including outside operations and sample collection — N.O.C. This classification applies to the provision of testing or research services for other concerns on a fee basis, including but not limited to the testing of air, water, soil, metal, concrete and other building materials and agricultural products. This classification also applies to fee-based assaying; quality control examination; testing of products such as electronic components; or determining the chemical composition of customer-submitted samples.This classification also applies to motor vehicle emissions testing (smog tests) at locations where the employer performs no automotive service or repair operations. Motor vehicle emissions testing at locations where the employer performs automotive service or repair operations shall be assigned to the applicable Automotive Industry Group classification.Classification 4511 applies to in-house research and development when such operations are not performed in connection with, or in support of, any other operation of the employer. Research and development that is performed in connection with other operations of the employer are a General Inclusion. See Section III, Rule 5, General Inclusions.The testing of construction building materials, when conducted in connection with consulting engineering performed by the same employer, shall be classified as 8601(1), Engineers.The research of biomedical products shall be classified as 4512, Biomedical Research Laboratories.The diagnostic testing of blood, human tissues or other biologic specimens on a fee basis shall be classified as 8834, Physicians' Practices and Outpatient Clinics.",Classification Code: 4511 | Pure Premium Rate: 0.45 | Effective Date: 9/1/2023
"CONCRETE CONSTRUCTION — N.O.C. This classification applies to concrete construction operations that are not more specifically described by another construction or erection classification. This classification includes the pouring or finishing of concrete foundations, retaining walls, basement walls, footings and floors at or above ground level when performed in connection with the construction of poured in place concrete buildings, masonry commercial buildings exceeding two stories in height, multi-story structural steel buildings and residential buildings exceeding three stories in height.This classification applies to the erection and placement of precast concrete wall panels and includes the pouring and finishing of floors above the ground floor when performed in connection with the construction of tilt-up buildings. The pouring or finishing of precast concrete wall panels, floor slabs or roof slabs at ground level, and the pouring or finishing of concrete ground floors of buildings for which precast concrete wall panels, floor slabs or roof slabs become an integral part shall be classified as 5214, Concrete or Cement Work.This classification also applies to the pouring or finishing of concrete bases for communication towers, concrete median barriers, sound walls, and concrete piers, docks and wharves.This classification also applies to raising or leveling concrete foundations, slabs, driveways, porches and patios by injecting cement below the surface (mud jacking).This classification includes the incidental setting up and taking down of falsework or concrete distributing apparatus by the employer engaged in concrete construction. This classification also includes the installation and removal of forms at the job site whether performed by the employer engaged in concrete construction or by a separate concern.Excavation, reinforcing steel installation, pile driving and all work in connection with sewers, tunnels, subways, bridges, streets, roads, caissons or cofferdams shall be separately classified.The pouring or finishing of concrete floor slabs and concrete slab-type foundations in connection with residential buildings not exceeding three stories in height, one or two story wood framed or masonry commercial buildings, and single story structural steel commercial buildings shall be separately classified as 5201(2)/5205(2), Concrete or Cement Work.",Classification Code: 5213 | Pure Premium Rate: 4.22 | Effective Date: 9/1/2023
"FENCE CONSTRUCTION — metal or wood This classification applies to the construction of metal or wood fences, including but not limited to chain link, corral-type and wrought iron fences. This classification also applies to the installation of fences constructed from synthetic materials. This classification also applies to the construction of street or road guardrails when performed by specialty contractors not engaged in street or road construction.The construction of street or road fences or guardrails by employers engaged in street or road construction shall be classified as 5506, Street or Road Construction — paving or repaving, surfacing or resurfacing or scraping.The installation of automatic gate openers shall be separately classified as 3724(2), Electrical Machinery or Auxiliary Apparatus.The construction of stone, brick or concrete block fences or walls shall be classified as 5027/5028, Masonry.The rental, delivery or set up of temporary chain-link fences shall be classified as 8028, Equipment or Machinery Rental Yards.",Classification Code: 6400 | Pure Premium Rate: 4.44 | Effective Date: 9/1/2023
"THEATERS — motion picture — all employees other than employees exclusively engaged in restaurant or tavern operations This classification applies to all employees engaged in the operation of ""walk-in"" or ""drive-in"" motion picture theaters, including but not limited to ushers, motion picture projection and sound equipment operators, box office and snack bar cashiers, security staff and parking lot attendants.The operation of a concession stand or snack bar by separate concerns shall be classified as 9079(2), Concessionaires.Theatrical performers, directors or musicians engaged in dance, opera, dramatic, comedic, circus or other theatrical presentations before a live audience shall be classified as 9156, Theaters — dance, opera and theater companies.Orchestras, touring bands, casual or steady engagement music groups or event disc jockeys engaged in the provision of musical entertainment before a live audience shall be classified as 9151, Theaters — musical entertainment.Employees other than performers, directors or musicians engaged in the operation of live performance theaters shall be classified as 9154, Theaters — not motion picture.The payroll of employees engaged exclusively in restaurant or tavern operations shall be separately classified as 9079(1), Restaurants or Taverns.",Classification Code: 9155 | Pure Premium Rate: 0.93 | Effective Date: 9/1/2023
"FRUIT OR VEGETABLE PROCESSING — frozen This classification applies to the freezing and processing of fresh produce, including but not limited to the steaming, blanching, cooking, cutting, slicing, and packaging of fresh frozen produce, including but not limited to broccoli, cauliflower, zucchini, squash, carrots, bell peppers, potatoes, peas, lima beans, peaches, apricots and berries.The preserving and canning of fruits or vegetables shall be separately classified as 2111(1), Fruit or Vegetable Preserving.The drying of fruit or vegetables shall be separately classified as 2102, Fruit or Vegetable Evaporation or Dehydrating.Growing or harvesting, including field packing, of crops shall be assigned to the applicable Farms Industry Group classification.",Classification Code: 2117 | Pure Premium Rate: 6.62 | Effective Date: 9/1/2023
"BOX MFG. — paper or cardboard — folding — N.O.C. This classification applies to the manufacture of non-corrugated folding paper or cardboard boxes that are shipped flat to be folded and assembled at the time of use. This classification also applies to incidental printing in connection with paper or cardboard folding box manufacturing operations.Box manufacturing operations performed in connection with other operations of the employer are a General Inclusion. See Part 3, Section III, Rule 5, General Inclusions.The manufacture of rigid non-corrugated paper or cardboard boxes shall be classified as 4240, Box Mfg. — paper or cardboard — rigid.The manufacture of corrugated fiber board containers or boxes shall be classified as 4244, Corrugated Fiber Board Container Mfg.The manufacture of paper or cardboard stock shall be separately classified as 4239(1), Paper or Cardboard Stock Mfg.",Classification Code: 4243 | Pure Premium Rate: 3.19 | Effective Date: 9/1/2023
"BARBER SHOPS, HAIR STYLING SALONS AND PERSONAL APPEARANCE SERVICES — including receptionists This classification applies to employers that provide hair cutting, styling, massage or other personal appearance services, including but not limited to manicures, pedicures, facial treatments, tattoos, piercing, tanning and hair removal.This classification also applies to fee-based salon services provided by barber or cosmetology schools.The operation of spa or bath facilities that include saunas, steam baths, hydrotherapy baths, cryotherapy, natural springs, mud baths or soaking tubs, including massage or personal appearance services provided in connection therewith, shall be classified as 9054, Spas or Baths.The operation of health clubs or gyms, including massage or personal appearance services provided in connection therewith, shall be classified as 9053(2), Health Clubs or Gyms.",Classification Code: 9586 | Pure Premium Rate: 1.25 | Effective Date: 9/1/2023
"BUSH BERRY CROPS This classification applies to all acreage devoted to the cultivation and harvesting, including field packing, of bush berries, such as raspberries, olallieberries (blackberries), blueberries and boysenberries.The washing, sorting, sizing, grading, packing, precooling or otherwise preparing of fresh fruit for shipment (not field packing) shall be separately classified as 2107, Fruit — fresh fruit packing and handling.The cultivation and harvesting, including field packing, of strawberries shall be classified as 0079(1), Strawberry Crops.Providing machinery and operating crews to conduct mechanized farming or harvesting operations for separate concerns on a fee basis shall be classified as 0050, Farm Machinery Operation.",Classification Code: 0079 | Pure Premium Rate: 2.52 | Effective Date: 9/1/2023
"REFRIGERATION EQUIPMENT — not household units — installation, service or repair — including shop, yard or storage operations — employees whose regular hourly wage does not equal or exceed $31.00 per hour — N.O.C. This classification applies to the installation, service or repair of commercial refrigeration systems or equipment, including but not limited to walk-in refrigerators, commercial refrigerators or freezers, refrigerated display cases, refrigerated drinking fountains and ice makers.The manufacture of commercial refrigeration systems or equipment, or shop repair of commercial refrigeration systems or equipment by employers that do not perform installation, service or repair at customers' locations shall be classified as 3165(1), Air Conditioning or Refrigeration Equipment Mfg.The installation, service or repair of self-contained metal refrigerators or freezers, refrigerated drink dispensing machines or refrigerated ice cream cabinets, other than shop repair by the manufacturer, shall be classified as 9519(1), Household Appliances.The shop repair of self-contained metal refrigerators or freezers, refrigerated drink dispensing machines or refrigerated ice cream cabinets by the manufacturer shall be classified as 3165(2), Refrigerator Mfg.",Classification Code: 5183 | Pure Premium Rate: 5.39 | Effective Date: 9/1/2023
"MACHINERY AND EQUIPMENT DEALERS — secondhand — including incidental reconditioning or repairing This classification applies to dealers of secondhand machinery or equipment, including but not limited to excavators, loaders, graders, conveyors, bulldozers, mobile cranes, machine tools, farm machinery or equipment, and welding, mining, food processing, well drilling or ore milling equipment.Dealers whose sales of new machinery or equipment, other than farm machinery or equipment, equal or exceed 75% of gross receipts shall be classified as 8107, Machinery and Equipment Dealers.Dealers whose sales of new farm machinery or equipment equal or exceed 75% of gross receipts shall be classified as 8116, Farm Machinery Dealers or Repair Facilities.The sale of new oil, gas or water well equipment shall be classified as 8107, Machinery and Equipment Dealers.The sale of pipe, tubing, flanges, fittings or valves for oil, gas or water wells, and the sale of used pipe, including incidental cleaning operations to prepare the pipe for sale, shall be classified as 8010, Stores — hardware, electrical or plumbing supplies.Installation or repair operations away from the employer's premises shall be separately classified as 3724(1), Millwright Work.",Classification Code: 8267 | Pure Premium Rate: 5.54 | Effective Date: 9/1/2023
"NEWSPAPER, MAGAZINE OR BOOK PUBLISHING — no printing or distribution — editing, designing, proofreading or photographic composing — including Clerical Office Employees and Clerical Telecommuter Employees This classification applies to pre-press activities of employers engaged in publishing printed newspapers, magazines or books where all printing and distribution is conducted by separate concerns. Pre-press activities include editing, designing, proofreading, and photographic composing including negative stripping and plate making.Newspaper reporters, photographers and advertising or circulation solicitors employed by newspaper publishers or printers shall be separately classified as 8746, Newspaper Publishing or Printing — reporters, photographers — including Outside Salespersons.Newspaper printing operations shall be classified as 4304, Newspaper Publishing or Printing — all other employees, or 8818, Newspaper Publishing or Printing — editing, designing, proofreading and photographic composing.Magazine or book printing operations shall be classified as 4299(1), Printing Operation — all other employees, or 8813(1), Printing Operation — editing, designing, proofreading and photographic composing.",Classification Code: 8807 | Pure Premium Rate: 0.18 | Effective Date: 9/1/2023
"HEALTH CLUBS OR GYMS — including restaurant employees, retail store employees and receptionists This classification applies to health clubs or gyms operating facilities that provide space and exercise equipment, including but not limited to cardiovascular equipment, weight machines and free weights available for use by clients on an at-will basis for the majority of operating hours. This classification includes facilities and services provided in connection with health club or gym operations, including but not limited to swimming pools, tennis courts, child care and spa, massage and personal appearance services. This classification includes fitness class instruction when provided in connection with health club or gym operations. This classification also applies to facilities that provide climbing walls or trampolines available for use by clients on an at-will basis or for fitness programs or instruction.The operation of fitness studios or fitness training programs primarily offering scheduled fitness classes where space and exercise equipment is not available for use by clients at-will during the majority of operating hours shall be classified as 8870, Fitness Instruction Programs or Studios.The operation of spa or bath facilities that include saunas, steam baths, hydrotherapy baths or soaking tubs, including massage or personal appearance services that are not provided in connection with a health club or gym, shall be classified as 9054, Spas or Baths.Hair cutting, massage services, nail salons and other personal appearance services that are not performed in connection with health clubs, gyms, spas or baths shall be classified as 9586, Barber Shops, Hair Styling Salons and Personal Appearance Services.Public or private swimming pools shall be classified as 9053(3), Swimming Pools or Swimming Clubs.Tennis or racquetball clubs shall be classified as 9053(5), Clubs — racquet sports.Non-profit community health and wellness clubs shall be classified as 9067(1), Clubs — community health and wellness.",Classification Code: 9053 | Pure Premium Rate: 1.38 | Effective Date: 9/1/2023
OIL OR GAS WELLS — installation or recovery of casing This classification applies to the installation or removal of oil or gas well casing.,Classification Code: 6235 | Pure Premium Rate: 3.99 | Effective Date: 9/1/2023
"AUTOMOBILE OR TRUCK REPAIR FACILITIES — no retail gasoline sales —including estimators, service writers and customer service representatives — N.O.C. This classification applies to mechanical repair operations that are not more specifically described by another Automotive Industry Group classification, including but not limited to the repair of electrical systems, air conditioning systems, engines, brakes, suspension systems, exhaust systems, engine tune-ups, and windshield or window repair or replacement on motor vehicles such as automobiles, trucks, buses, forklift trucks, golf carts, recreational vehicles and motor homes for other concerns on a fee basis. This classification does not apply if the operations include the sale of gasoline, the sale of rubber tires exceeds 10% of the total gross receipts, the operations primarily (over 50% of gross receipts) consist of transmission repair or rebuilding, or the operations do not include mechanical repair as described above. Refer to the Automotive Industry Group for a complete list of classifications applicable to automobile or truck service or repair facilities.Automobile or truck repair facilities that are engaged primarily (over 50% of gross receipts) in the repair or rebuilding of automobile or truck transmissions shall be classified as 8397, Automobile or Truck Transmission Repairing and Rebuilding.Towing, roadside assistance or freeway service patrol operations when conducted on vehicles not owned by the employer shall be separately classified as 7227, Automobile or Truck Towing, Roadside Assistance or Freeway Service Patrol.""Roadside assistance"" refers to services provided to the vehicle owner under an agreement with a third party (such as a motor club or law enforcement agency). Contemplated services include changing tires, jump-starting batteries, replacing batteries, supplying a small amount of gasoline or performing minor vehicle repairs such as reattaching ignition wires or battery cables.",Classification Code: 8389 | Pure Premium Rate: 2.58 | Effective Date: 9/1/2023
"PUBLIC COLLEGES OR SCHOOLS — all employees — including cafeteria, Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons This classification applies to all operations of public colleges or schools, including but not limited to instruction, dormitories, cafeterias, book stores, transportation services, counseling, building or landscape maintenance, janitorial, libraries, athletic programs, parking, security and administration. This classification includes day care, preschools and before or after school programs operated by public colleges or schools.This classification also applies to the operation of charter schools.This classification also applies to state or county vocational schools or training programs and to school counselors who are provided to public schools by separate concerns under contract.Private college or school operations shall be classified as 8868, Colleges or Schools — private — not automobile schools — professors, teachers or academic professionals, and 9101, Colleges or Schools — private – not automobile schools — all employees other than professors, teachers, or academic professional employees – including cafeterias.Day care, preschools or before or after school programs operated by separate employers at public school locations shall be classified as 9059, Day Care Centers.",Classification Code: 8875 | Pure Premium Rate: 0.58 | Effective Date: 9/1/2023
"SALT PRODUCTION — by solar evaporation exclusively This classification applies to the production and processing of salt from seawater, which includes
but is not limited to the pumping of seawater into evaporation ponds, and washing, crushing, sizing
and packaging of salt. This classification also applies to the production of borax and potash.Mining of salt, borax or potash shall be separately classified.",Classification Code: 4000 | Pure Premium Rate: 2.77 | Effective Date: 9/1/2023
"STORES — office supplies — wholesale or retail This classification applies to stores engaged in the sale of office supplies, including but not limited to printer paper, pens, pencils, note pads, drafting and engineering supplies, binders, report covers, paper clips, envelopes and desk blotters.The sale of office machines or office furniture shall be assigned to the applicable Stores classification in accordance with Section IV, Rule 5, Stores.Computer stores shall be classified as 8062, Stores — computer.",Classification Code: 8064 | Pure Premium Rate: 2.88 | Effective Date: 9/1/2023
"TRUSS OR BUILDING COMPONENTS MFG. — wood — shop This classification applies to the manufacture of wood building components, including but not limited to roof trusses, floor joists and prefabricated wall sections when performed at a permanent shop or yard location. This classification also applies to prefabricated wood docks or building kits.The outside installation or manufacture of roof trusses, floor joists or prefabricated wall sections at job sites shall be classified as 5403/5432, Carpentry.The manufacture of mobile, modular or manufactured homes shall be classified as 2797(1), Mobile, Modular or Manufactured Home or Building Mfg.When an employer deals in any lumber, building materials or solid combustible fuel materials in addition to products it manufactures, yard operations, including drivers and their helpers, shall be separately classified as 8232(1), Lumberyards, 8232(2), Building Material Dealers, or 8232(3), Fuel and Material Dealers, depending on the products sold.",Classification Code: 2819 | Pure Premium Rate: 5.79 | Effective Date: 9/1/2023
"BOAT BUILDING OR REPAIRING — including shop and yard work This classification applies to the manufacture or repair of noncommercial boats of any size and commercial boats not exceeding 150 feet in length, provided such operations are not subject to the United States Longshore and Harbor Workers' Compensation Act (USL&H Act). This classification applies to boats made of materials, including but not limited to wood, metal and fiber reinforced plastic.The sale of new or used boats, including the service or repair of boats when performed by the boat dealer, shall be classified as 8057, Boat Dealers.Boat marina and boat rental operators shall be classified as 9016(4), Boat Marina and Boat Rental Operation.The demolition of ships shall be classified as 5040, Iron or Steel Erection — structural. See Part 3, Section IV, Rule 6, Wrecking or Demolition and Building Raising or Moving.For boat building or repair operations subject to the USL&H Act, refer to the Advisory California Rules for the Recording and Reporting of United States Longshore and Harbor Workers' Compensation Act Coverage.",Classification Code: 6834 | Pure Premium Rate: 4.92 | Effective Date: 9/1/2023
"SUBSTANCE USE DISORDER RECOVERY HOMES — all employeesClassification 8804(1) shall not be used for division of payroll in connection with Classifications 9070(1), Residential Care Facilities for the Elderly, 9070(3), Residential Care Facilities for Adults, 8823, Residential Care Facilities for Children, or 8851, Congregate Living Facilities for the Elderly, unless the operation described by Classification 8804(1) constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 9070(1), 9070(3), 8823 or 8851. This classification shall apply to nonmedical residential care facilities providing services in a group setting to persons who are capable of meeting their life support needs independently, but who temporarily need assistance, guidance or counseling.",Classification Code: 8804 | Pure Premium Rate: 2.35 | Effective Date: 9/1/2023
OIL OR GAS WELLS — acidizing or hydraulic fracturing — all operations This classification applies to the pumping of acid and other fluids into oil or gas wells to stimulate or restore the flow of oil or gas.,Classification Code: 6206 | Pure Premium Rate: 2.65 | Effective Date: 9/1/2023
"ARMORED TRANSPORT SERVICES — including terminal employees and mechanics This classification applies to the secure transport of cash or other negotiable securities, jewelry, precious metals or other valuables to customer designated locations using armored vehicles. This classification includes but is not limited to drivers, money sorters and counters, vault clerks and security guards in connection with transportation services.Security guards that are not in connection with armored transport services shall be classified as 7721(2), Security, Guard or Patrol Services.",Classification Code: 7198 | Pure Premium Rate: 8.66 | Effective Date: 9/1/2023
"CLUBS — boys and girls — all employees — including front desk employees, teachers and instructors This classification applies to clubs or programs that provide supplemental after school and recreational activities, including but not limited to homework assistance, games, arts and crafts, athletics and computer training for school age children on an elective or drop-in basis.Overnight camps or retreat facilities shall be separately classified as 9048(1), Camps or Retreat Facilities.Child day care centers engaged in the provision of supervised care and custody of children that do not operate on an elective or drop-in basis shall be classified as 9059, Day Care Centers.",Classification Code: 9067 | Pure Premium Rate: 1.53 | Effective Date: 9/1/2023
"LOGGING — all kinds — including construction, operation, maintenance or extension of logging roads This classification applies to commercial timber harvesting, including but not limited to the cutting, skidding, on-site processing and loading of trees or logs onto trucks for transport to saw mills. This classification also applies to the construction and maintenance of temporary logging roads in connection with logging operations.This classification also applies to reforestation operations to plant new trees or timber growth management operations to control or remove brush or overgrowth when performed in connection with logging operations by the same employer.When bucking, felling or limbing is performed by persons who furnish their own power equipment, including but not limited to chain saws under an agreement in which the rental value of such equipment is included in the contract price for such operations, not less than 80% of the total amount paid to such persons shall be included as remuneration.Hauling logs to sawmills shall be separately classified as 2727, Log Hauling.The grading of permanent roads, including permanent unpaved roads that are used for logging operations, shall be separately classified as 5507, Street or Road Construction — grading.Log chipping, including the subsequent transport of the chips, shall be separately classified as 2710(2), Log Chipping.Mill operations shall be separately classified.Forest engineering or timber cruising operations shall be separately classified as 8601(4), Forest Engineers.The removal of trees that retain no timber value when not performed in connection with logging operations by the same employer shall be classified as 0106, Tree Pruning, Repairing or Trimming.Reforestation operations to plant new trees or timber growth management operations to control or remove brush or overgrowth when performed for other concerns on a fee basis and not in connection with logging operations performed by the same employer shall be classified as 0042, Landscape Gardening.Land clearing operations, including the removal of trees in connection therewith, shall be classified as 2702(2), Land Clearing.",Classification Code: 2702 | Pure Premium Rate: 16.43 | Effective Date: 9/1/2023
"NAIL, TACK OR RIVET MFG. — cold or hot work This classification applies to the manufacture of nails, tacks, rivets, staples, pins or sewing needles.Manufacturing screw machine products, including but not limited to connectors, fittings, spacers, pins and bushings, on a fee basis or as proprietary products using fully automatic screw machines for some or all of the machining operations shall be classified as 3152(3), Screw Machine Products Mfg.Steel making or rolling mills shall be separately classified.",Classification Code: 3152 | Pure Premium Rate: 3.37 | Effective Date: 9/1/2023
"PAINTING — automobile or truck bodies — including incidental sanding — no body repairing —
including estimators, service writers and customer service representatives who inspect
vehicles This classification applies to painting, repainting or undercoating customers' automobiles, trucks or buses.This classification does not apply to automobile or truck repair facilities at which the operations include body repairing and related painting operations; such operations shall be classified as 8393, Automobile or Truck Body Repairing and Painting.Employers that apply painted or adhesive lettering, signage, striping, adhesive wraps or window tint film onto automobiles, trucks or buses and do not engage in automobile or truck painting or body repairing shall be classified as 9507, Sign Painting or Lettering and Quick Sign Shops.",Classification Code: 9501 | Pure Premium Rate: 4.03 | Effective Date: 9/1/2023
"MACARONI MFG. This classification applies to the manufacture and packaging of unfilled pasta products, including but not limited to macaroni, spaghetti, penne, rigatoni, rotini, linguini and egg or rice noodles.The manufacture of filled pasta, including but not limited to ravioli and tortellini, shall be classified as 2003, Bakeries or Cracker Mfg.",Classification Code: 2002 | Pure Premium Rate: 6.92 | Effective Date: 9/1/2023
